id,generation,emotion,source,target
00001,20s,부정,"이번 주말에 친구들이랑 혼술하면서 갓생 스토리 좀 나누려고 하는데, 갑자기 현타가 온다.","이번 주말에 친구들과 혼자 술을 마시며 좋은 삶에 대한 이야기를 나누려고 하는데, 갑자기 허탈한 기분이 듭니다."
00002,10s,긍정,"오늘 존맛탱인 떡볶이 먹으러 갔는데, 갓벽한 감성샷 남겼어! ㅎㅎ","오늘 정말 맛있는 떡볶이를 먹으러 갔는데, 완벽한 감성 사진을 남겼어요!"
00003,20s,긍정,"이번 주말에 나랑 랜선으로 같이 영화 보자, 진짜 꿀잼이다!",이번 주말에 나와 함께 온라인으로 영화를 보자. 정말 재미있어.
00004,20s,부정,오늘은 친구들이랑 랜선 모임 하면서 꿀잼 영상 보고 현타 왔어.,오늘 친구들과 온라인 모임을 하면서 재미있는 영상을 보고 우울해졌어요.
00005,10s,긍정,"어제 친구랑 감성폭발하는 사진 찍으러 갔는데, 존맛탱인 디저트를 발견했어! ㅋㅋㅋㅋ","어제 친구와 감정이 폭발하는 사진을 찍으러 갔는데, 정말 맛있는 디저트를 발견했어요."
00006,20s,긍정,"이번 주말에 친구들이랑 랜선모임 하기로 했는데, 진짜 꿀템 대방출할 생각에 ㅇㅈ이지!","이번 주말에 친구들과 온라인 모임을 하기로 했는데, 정말 좋은 물건을 많이 보여줄 생각에 인정이다!"
00007,20s,긍정,"오늘은 완전 꿀잼이라서 다들 저녁에 혼술하자고 하더라, ㅎㅂㅎ",오늘은 정말 재미있어서 다들 저녁에 혼자 술 마시자고 하더라.
00008,20s,부정,"요즘 나만 빼고 다 존맛탱인 것 같은데, 갑분싸되는 기분이야.","요즘 나만 빼고 다 맛있게 먹는 것 같은데, 기분이 별로야."
00009,10s,긍정,"오늘 엄청 맛있는 까르보나라 먹었는데, 진짜 존맛탱이라서 나도 깜짝 놀랐다 ㅋㅋ.","오늘 정말 맛있는 까르보나라를 먹었는데, 정말 맛있어서 나도 깜짝 놀랐다."
00010,10s,긍정,"오늘 기분 완전 존맛탱이야, 그래서 나 감성샷 한 장 찍었어!","오늘 기분이 정말 좋았어서, 그래서 나 감성적인 사진을 한 장 찍었어!"
00011,20s,긍정,"오늘도 혼술하면서 감성샷 찍었는데, 꿀템 발견해서 완전 미쳤다!","오늘 혼자 술 마시면서 감성 있는 사진을 찍었는데, 좋은 물건 발견해서 정말 기쁘다!"
00012,20s,긍정,"이번 주말에 친구들이랑 감성샷 찍으러 갑분띠 가기로 했어, 완전 기대돼!","이번 주말에 친구들과 감성적인 사진을 찍으러 갑자기 가기로 했어요, 정말 기대돼요!"
00013,20s,긍정,"오늘 친구랑 나심비 좋은 카페 갔는데, 감성샷 제대로 건져서 인스타에 올렸더니 다들 감탄하더라 ㅎㅎ","오늘 친구와 가성비 좋은 카페에 갔는데, 분위기 좋은 사진을 잘 찍어서 인스타그램에 올렸더니 모두가 감탄하더라."
00014,20s,긍정,"오늘 신상으로 꾸안꾸 스타일로 나갔는데, 친구들이 갓벽하다고 감성샷 찍어달라고 하더라 ㅎㅎ.","오늘 신상으로 자연스럽게 꾸민 스타일로 나갔는데, 친구들이 완벽하다고 감성적인 사진을 찍어달라고 하더라."
00015,20s,긍정,"오늘 친구들이랑 놀다가 갑분싸 됐는데, 그래도 꿀잼이었어!","오늘 친구들과 놀다가 분위기가 갑자기 안 좋아졌지만, 그래도 재미있었어!"
00016,20s,긍정,"오늘 소확행으로 감성샷 찍으러 갔는데, 존맛탱 버블티 발견했어!","오늘 소소한 행복으로 감성적인 사진을 찍으러 갔는데, 정말 맛있는 버블티를 발견했어요!"
00017,20s,부정,"어제 감성샷 찍으러 갔는데, 갑자기 친구가 고구마 같은 얘기 시작해서 완전 갑분싸였어.","어제 감성적인 사진을 찍으러 갔는데, 갑자기 친구가 답답한 얘기를 시작해서 완전히 분위기가 싸해졌어."
00018,20s,긍정,오늘도 나의 인생샷 찍으러 갔는데 갓벽한 배경에서 감성폭발하고 왔어!,오늘도 내 인생 사진을 찍으러 갔는데 완벽한 배경에서 감정이 폭발하고 왔어!
00019,20s,중립,"요즘 날씨가 갑분싸인데, 감성샷 찍으러 나갈까 고민 중이야.","요즘 날씨가 갑자기 좋지 않은데, 감성적인 사진을 찍으러 나갈까 고민 중이에요."
00020,20s,긍정,"오늘 저녁 혼밥 하려는데, 존맛탱인 꿀템 하나 발견했어! 이거 진짜 개이득이야!","오늘 저녁 혼자 밥 먹으려는데, 정말 맛있는 좋은 아이템 하나 발견했어! 이거 진짜 대박이야!"
00021,20s,긍정,요즘 너튜브에서 감성샷 찍으면서 혼술하는 영상들이 너무 꿀잼이야.,요즘 유튜브에서 감성적인 사진을 찍으면서 혼자 술 마시는 영상들이 너무 재미있어요.
00022,20s,긍정,오늘 완소남이랑 감성샷 찍으러 가는데 너무 기대돼 ㅎㅎ,오늘 정말 멋진 남자 친구와 감성적인 사진을 찍으러 가는데 매우 기대돼요.
00023,20s,중립,오늘 현타 오지게 와서 그냥 집에서 감성샷 찍으며 힐링타임 중이야.,오늘 기분이 우울해서 그냥 집에서 감성적인 사진을 찍으며 힐링하는 시간을 보내고 있어.
00024,10s,긍정,오늘 친구들이랑 랜선모임 했는데 꿀잼이라 시간 가는 줄 몰랐어! ㅎㅎ,오늘 친구들과 온라인 모임을 했는데 정말 재미있어서 시간이 어떻게 가는지 몰랐어요! ㅎㅎ
00025,20s,긍정,"오늘 촬영한 감성샷 진짜 갓벽이다, 완소남이랑 같이 찍어서 더욱 꿀잼이었다.",오늘 촬영한 감성적인 사진이 정말 완벽하다. 좋아하는 남자와 함께 찍어서 더욱 재미있었다.
00026,20s,긍정,어제 친구들이랑 스몸비처럼 누워서 넷플릭스 보다가 감성샷 완전 찍었지 ㅋㅋ,어제 친구들과 좀비처럼 누워서 넷플릭스를 보다가 감성적인 사진을 완전히 찍었어요.
00027,20s,긍정,"내 친구가 요즘 갑분싸 자주 하더니, 완소남이랑 썸 타고 있더라.","내 친구가 요즘 분위기를 자주 깨뜨리더니, 좋은 남자와 썸을 타고 있더라."
00028,20s,부정,"요즘 진짜 뇌절이야, 그거 완전 GG지ㅋㅋ","요즘 정말 불편한 상황이야, 그거 완전 실패야."
00029,20s,긍정,"오늘은 완소남이랑 감성샷 찍으러 갈 생각인데, 개이득이라니까!","오늘은 아주 좋은 친구와 함께 감성적인 사진을 찍으러 갈 생각인데, 정말 기쁘네요!"
00030,20s,긍정,"어제 랜선모임에서 존맛탱 피자 시켜서 감성샷 찍었는데, 너무 좋았어 ㅎㅎ","어제 온라인 모임에서 정말 맛있는 피자를 시켜서 감성 사진을 찍었는데, 너무 좋았어요."
00031,20s,긍정,"이번 주말에 친구들이랑 혼술 하기로 했는데, 진짜 꿀잼이겠다 ㅎㅎ","이번 주말에 친구들과 혼자 술 마시기로 했는데, 정말 재미있을 것 같아요."
00032,20s,긍정,"오늘 진짜 갓벽한 날이었어! 인생샷 많이 건졌고, 감성폭발하는 감성샷도 찍었지 ㅎㅎ","오늘 정말 좋은 날이었어요! 인생 사진도 많이 찍고, 감성이 넘치는 사진도 찍었어요."
00033,20s,중립,오늘 감성샷 찍으러 갔는데 갑분싸 되는 바람에 그냥 카페에서 혼술했어.,오늘 감성 사진을 찍으러 갔는데 분위기가 갑자기 싸해져서 그냥 카페에서 혼자 술을 마셨다.
00034,20s,긍정,"이번 주에 감성샷 찍으러 가는데 존맛탱 음료수도 팔고 있더라고, 완내스야!","이번 주에 감성적인 사진을 찍으러 가는데 정말 맛있는 음료수도 팔고 있더라고, 대단해!"
00035,20s,부정,"어제 진짜 갓생 살았는데, 오늘은 좀 의욕 없어서 노잼이다 ㅜㅜ","어제는 정말 의미 있는 하루를 보냈는데, 오늘은 조금 의욕이 없어서 재미가 없다 ㅜㅜ"
00036,10s,긍정,오늘 완전 존맛탱 밥플릭스 하면서 꿀잼 보냈다!,오늘 정말 맛있는 음식을 먹으면서 좋은 영화를 보며 즐거운 시간을 보냈다!
00037,20s,긍정,"이번 주말에 친구들 만나서 혼술할 건데, 꿀템으로 소주랑 안주 미리 준비했어! 완소남들 오면 존맛탱일 듯.","이번 주말에 친구들과 만나서 혼자 술을 마실 예정인데, 좋은 아이템으로 소주와 안주를 미리 준비했습니다! 좋은 친구들이 오면 정말 맛있을 것 같아요."
00038,10s,긍정,"이번 주말에는 친구들이랑 랜선모임 하기로 했는데, 꿀잼 기대됨!","이번 주말에는 친구들과 온라인 모임을 하기로 했는데, 재미있을 것 같아요!"
00039,10s,긍정,"이번 주말에 친구들이랑 랜선모임 하는데, 감성샷 많이 찍을 예정이야! ㅋㅋ","이번 주말에 친구들과 화상 모임을 하는데, 감성적인 사진을 많이 찍을 예정이야!"
00040,20s,긍정,"이번 주말에 친구들이랑 랜선 모임 할 건데, 기대된다 ㅎㅎ 그리고 꿀템 좀 공유해줘!","이번 주말에 친구들과 온라인 모임을 할 건데, 기대된다. 그리고 좋은 물건 좀 공유해줘!"
00041,20s,긍정,"어제 친구랑 감성샷 찍으러 갔는데, 이게 갓생이지 뭐야? ㅋㅋ","어제 친구와 감성 사진을 찍으러 갔는데, 이게 바로 좋은 삶이군요? 하하"
00042,20s,긍정,"오늘의 감성샷은 진짜 갓벽이다 ㅎㅎ 내돈내산으로 이렇게 존맛탱인 제품을 찾다니, 개이득이야!","오늘 찍은 감성 사진이 정말 완벽하다. 내가 직접 산 이런 맛있는 제품을 찾다니, 이득이다!"
00043,20s,긍정,"오늘 친구랑 만나서 꿀잼이었고, 감성샷도 많이 찍어서 인스타에 올릴 예정이야~","오늘 친구와 만나서 정말 재미있었고, 감성적인 사진도 많이 찍어서 인스타그램에 올릴 예정이야."
00044,20s,긍정,"요즘 친구들이랑 랜선모임 하면서 꿀잼 콘텐츠 찾고 있는데, 감성샷은 꼭 찍어야지 ㄴㅇㄱ.","요즘 친구들과 온라인 모임을 하면서 재미있는 콘텐츠를 찾고 있는데, 감성을 담은 사진은 꼭 찍어야겠어요."
00045,20s,중립,"오늘 갑분싸 되는 날이라서 친구들이랑 랜선모임 하기로 했어, 감성샷 찰칵! ㅎㅎ","오늘 갑자기 분위기가 싸해져서 친구들과 온라인 모임을 하기로 했어요, 감성적인 사진을 찍었어요! ㅎㅎ"
00046,20s,긍정,"오늘은 감성샷 찍으러 나가는데 갑분띠네, 완전 인생샷이야!",오늘은 감성적인 사진을 찍으러 나가는데 분위기가 너무 좋다. 정말 인생사진이다!
00047,20s,긍정,"요즘 갓생 살려고 노력 중인데, 감성폭발할 때마다 혼코노 하러 가고 싶어져!","요즘 좋은 삶을 살기 위해 노력 중인데, 감정이 폭발할 때마다 혼자 노래를 부르러 가고 싶어져!"
00048,20s,긍정,"요즘 감성샷 찍는 걸 너무 좋아하는데, 친구랑 갓벽한 장소를 찾아서 갬성 폭발했어!","요즘 감성 사진을 찍는 것을 너무 좋아하는데, 친구와 완벽한 장소를 찾아서 감정이 폭발했어요!"
00049,20s,긍정,오늘 감성샷 찍으러 ㄴㅇㄱ 하자! 너무 좋을 듯!,오늘 감성적인 사진을 찍으러 가자! 정말 좋을 것 같아!
00050,10s,긍정,오늘 학원 갔다가 갑분띠에 친구들 만나서 꿀잼으로 놀았어!,오늘 학원 갔다가 갑자기 친구들을 만나서 아주 재미있게 놀았어요!
00051,20s,부정,"어제 친구들이랑 감성샷 찍으러 갔는데, 갑분싸 되는 바람에 현타가 확 오더라고.","어제 친구들과 감성 사진을 찍으러 갔는데, 분위기가 갑자기 싸해져서 현실을 직시하게 되었어요."
00052,10s,긍정,오늘은 혼코노 하면서 존맛탱 치킨 먹으려고 해! ㅎㅎ,오늘은 혼자서 노래 부르며 정말 맛있는 치킨을 먹으려고 해요! ㅎㅎ
00053,20s,긍정,"오늘 카페에서 친구랑 감성샷 찍다가 갑분싸 됐는데, 그래도 꿀잼이었어!","오늘 카페에서 친구와 감성적인 사진을 찍다가 분위기가 갑자기 싸해졌지만, 그래도 재미있었어!"
00054,20s,긍정,"오늘도 인생샷 찍으러 감성폭발하는 카페 가자, 거기 넘 감성적이야! ㅎㅎ","오늘도 인생사진을 찍으러 감성이 넘치는 카페에 가자, 그곳이 매우 감성적이야! ㅎㅎ"
00055,20s,긍정,"오늘 친구들이랑 감성샷 찍으러 갔는데, 진짜 존맛탱인 카페에서 갑분띠가 있었어!","오늘 친구들과 감성적인 사진을 찍으러 갔는데, 정말 맛있는 카페에서 뜻밖의 일이 있었어!"
00056,20s,긍정,이번 감성샷 찍으러 갔는데 진짜 ㅇㅈ이지? 완전 갓생이다!,이번에 감성 사진을 찍으러 갔는데 정말 인정을 해요? 완전 멋진 하루였어요!
00057,20s,부정,오늘 친구들이랑 술 마시러 갔는데 갑분싸 분위기가 너무 쩔어서 그냥 집에 가고 싶었어.,오늘 친구들과 술을 마셨는데 갑자기 분위기가 너무 안 좋아져서 그냥 집에 가고 싶었어요.
00058,20s,긍정,"내가 어제 본 영화 진짜 갓생인데, 감성샷 많이 남겼다 ㅎㅎ","내가 어제 본 영화는 정말 멋졌고, 감성적인 사진을 많이 찍었다."
00059,10s,긍정,"어제 그 드라마 진짜 미쳤어, 주인공 연기 갓벽하고 감성 폭발이었지.","어제 그 드라마 정말 대단했어, 주인공의 연기가 훌륭했고 감정 표현이 뛰어났어."
00060,10s,긍정,"이번 주말에 친구들이랑 랜선 모임 하기로 했는데, 감성샷 잘 나올 것 같아서 기대돼!","이번 주말에 친구들과 온라인 모임을 하기로 했는데, 감성적인 사진이 잘 나올 것 같아서 기대돼!"
00061,10s,긍정,"오늘 친구들이랑 감성샷 찍으러 갔는데, 완전 존맛탱이어서 나도 모르게 웃음이 나왔어ㅋㅋ","오늘 친구들과 감성적인 사진을 찍으러 갔는데, 정말 맛있는 음식이 있어서 나도 모르게 웃음이 나왔어요."
00062,20s,긍정,"오늘 날씨 완전 개이득인데, 감성샷 찍으러 가자구!",오늘 날씨가 정말 좋으니 감성적인 사진을 찍으러 가자.
00063,20s,부정,"오늘 친구랑 감성샷 찍으러 갔는데, 갑분싸로 비가 와서 너무 슬펐어.","오늘 친구와 감성 사진을 찍으러 갔는데, 갑자기 비가 와서 너무 슬펐어요."
00064,20s,긍정,오늘도 기분이 ㅇㅈ이지? 감성샷 찍으러 가자!,오늘도 기분이 좋지? 감성적인 사진을 찍으러 가자!
